Código	Denominación	[A]	[B]	[B] VS [A]	
		ene-2025 Proyectado	ene-2025 Histórico	ene-2025 Histórico	
				VS	
				ene-2025 Proyectado	
		Monto	Monto	Monto	%
33	FONDOS DE DESTINACIÓN ESPECÍFICA	125.118.051	128.573.851	3.455.800	2,76%
3310	FONDO PARA REVALORIZACIÓN DE APORTES	70.208.533	72.147.715	1.939.182	2,76%
3325	FONDO ESPECIAL	23.675.075	24.328.988	653.913	2,76%
3330	FONDO SOCIALES CAPITALIZADOS	30.226.456	31.061.320	834.864	2,76%
3335	FONDOS DE INVERSIÓN	1.007.987	1.035.828	27.841	2,76%
35	EXCEDENTES Y/O PÉRDIDAS DEL EJERCICIO	-23.993.279.330	981.516.871	24.974.796.201	-104,09%
3505	EXCEDENTES	-23.993.279.330	0	23.993.279.330	-100,00%
3510	PÉRDIDAS (DB)	0	981.516.871	981.516.871	100,00%
36	RESULTADOS ACUMULADOS POR ADOPCIÓN POR PRIMERA VEZ	30.018.247	30.847.360	829.113	2,76%
3605	EXCEDENTES	30.018.247	30.847.360	829.113	2,76%
37	OTRO RESULTADO INTEGRAL	4.297.873.775	5.308.925.811	1.011.052.036	23,52%
3705	POR REVALUACIÓN DE PROPIEDAD PLANTA Y EQUIPO Y ACTIVOS INTANGIBLES	4.297.873.775	5.308.925.811	1.011.052.036	23,52%
39	RESULTADOS DE EJERCICIOS ANTERIORES	1.807.162.363	1.745.796.542	-61.365.821	-3,40%
3905	EXCEDENTES	1.807.162.363	1.745.796.542	-61.365.821	-3,40%
4	INGRESOS	3.561.766.002	5.306.424.641	1.744.658.638	48,98%
41	INGRESOS POR VENTA DE BIENES Y SERVICIOS	2.918.659.969	2.822.479.514	-96.180.455	-3,30%
4150	INGRESOS CARTERA DE CRÉDITOS	3.010.200.398	2.872.076.162	-138.124.236	-4,59%
415005	INTERESES DE CRÉDITOS COMERCIALES	423.693.170	392.594.787	-31.098.383	-7,34%
415010	INTERESES DE CRÉDITOS CONSUMO	996.213.080	1.005.660.722	9.447.642	0,95%
415015	INTERESES DE CRÉDITOS VIVIENDA	0	34.507.924	34.507.924	100,00%
415025	INTERESES DE MICROCRÉDITO EMPRESARIAL	427.728.721	376.972.567	-50.756.154	-11,87%
415035	INTERESES MORATORIOS CARTERA COMERCIAL	26.554.240	4.387.748	-22.166.492	-83,48%
415040	INTERESES MORATORIOS CARTERA CONSUMO	66.792.868	8.827.794	-57.965.074	-86,78%
415045	INTERESES MORATORIOS CARTERA VIVIENDA	0	279.148	279.148	100,00%
415055	INTERESES MORATORIOS CARTERA MICROCRÉDITO EMPRESARIAL	89.888.827	31.381.225	-58.507.602	-65,09%
415065	INTERESES DE CRÉDITOS PRODUCTIVOS	976.513.625	1.007.134.695	30.621.070	3,14%
415070	INTERESES MORATORIOS CARTERA CRÉDITOS PRODUCTIVOS	2.815.867	10.329.552	7.513.685	266,83%
4175	DEVOLUCIONES REBAJAS Y DESCUENTOS EN VENTAS (DB)	-91.540.429	-49.596.648	41.943.781	-45,82%
42	OTROS INGRESOS	643.106.034	2.483.945.127	1.840.839.093	286,24%
4205	INGRESOS POR UTILIDAD EN VENTA DE INVERSIONES Y OTROS ACTIVOS	134.000	0	-134.000	-100,00%
420565	ACTIVOS INTANGIBLES	134.000	0	-134.000	-100,00%
4210	INGRESOS POR VALORACIÓN INVERSIONES	207.337.572	294.743.478	87.405.906	42,16%
421010	EFECTIVO RESTRINGIDO	65.295.756	41.083.496	-24.212.260	-37,08%
421015	INVERSIONES FONDO DE LIQUIDEZ	99.680.459	63.243.499	-36.436.960	-36,55%
421036	INVERSIONES CONTABILIZADAS A COSTO AMORTIZADO	42.361.357	190.416.483	148.055.126	349,51%
4220	OTROS INGRESOS	134.918.462	97.597.760	-37.320.702	-27,66%
422004	INTERESES DE BANCOS Y OTRAS ENTIDADES CON ACTIVIDAD FINANCIERA	29.428.462	20.760.552	-8.667.910	-29,45%
422005	DIVIDENDOS PARTICIPACIONES Y RETORNOS	2.200.000	0	-2.200.000	-100,00%
422010	COMISIONES Y/O HONORARIOS	103.290.000	76.837.208	-26.452.793	-25,61%
4225	RECUPERACIONES DETERIORO	291.152.000	2.080.338.185	1.789.186.185	614,52%
422509	DE CRÉDITOS DE VIVIENDA	1.940.000	2.689.147	749.147	38,62%
422510	DE INTERESES CRÉDITOS DE VIVIENDA	1.024.000	4.423.588	3.399.588	331,99%
422511	DE PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE VIVIENDA	0	41.800	41.800	100,00%
422512	DE CRÉDITOS DE CONSUMO	58.628.000	318.791.239	260.163.239	443,75%
422513	DE INTERESES CRÉDITOS DE CONSUMO	25.909.000	70.154.764	44.245.764	170,77%
