Código	Denominación	[A]	[B]	[B] VS [A]	
		jul-2025 Proyectado	jul-2025 Histórico	jul-2025 Histórico	
				VS	
				jul-2025 Proyectado	
		Monto	Monto	Monto	%
2610	FONDO SOCIAL DE SOLIDARIDAD	389.249	3.199.999	2.810.750	722,10%
2648	FONDO SOCIAL PARA OTROS FINES	657.635.645	560.364.078	-97.271.567	-14,79%
27	OTROS PASIVOS	1.832.049.995	1.395.283.671	-436.766.324	-23,84%
2710	OBLIGACIONES LABORALES POR BENEFICIOS A EMPLEADOS	1.495.435.102	1.077.342.657	-418.092.445	-27,96%
271005	BENEFICIOS A EMPLEADOS A CORTO PLAZO	1.495.435.102	1.077.342.657	-418.092.445	-27,96%
2720	INGRESOS ANTICIPADOS - DIFERIDOS	293.008.375	175.287.602	-117.720.773	-40,18%
272005	INTERESES	293.008.375	175.287.602	-117.720.773	-40,18%
2725	INGRESOS RECIBIDOS PARA TERCEROS	43.606.518	142.653.412	99.046.894	227,14%
272505	VALORES RECIBIDOS PARA TERCEROS	43.606.518	142.653.412	99.046.894	227,14%
28	PROVISIONES	12.494.887	12.840.000	345.113	2,76%
2820	PROVISIÓN MULTAS SANCIONES LITIGIOS INDEMNIZACIONES Y DEMANDAS	12.494.887	12.840.000	345.113	2,76%
3	PATRIMONIO	73.287.694.883	78.721.152.451	5.433.457.568	7,41%
31	CAPITAL SOCIAL	59.011.109.453	58.539.251.101	-471.858.352	-0,80%
3105	APORTES SOCIALES TEMPORALMENTE RESTRINGIDOS	32.848.643.791	30.069.251.101	-2.779.392.690	-8,46%
310505	APORTES ORDINARIOS	32.848.643.791	30.069.251.101	-2.779.392.690	-8,46%
3110	APORTES SOCIALES MÍNIMOS NO REDUCIBLES	26.162.465.662	28.470.000.000	2.307.534.338	8,82%
311005	APORTES ORDINARIOS	24.372.905.563	26.691.552.847	2.318.647.284	9,51%
311010	APORTES AMORTIZADOS	1.789.560.099	1.778.447.153	-11.112.946	-0,62%
32	RESERVAS	11.060.979.386	11.027.880.773	-33.098.613	-0,30%
3205	RESERVA PROTECCIÓN DE APORTES	10.987.753.382	10.955.109.494	-32.643.888	-0,30%
3215	RESERVA DE ASAMBLEA	73.226.003	72.771.279	-454.724	-0,62%
33	FONDOS DE DESTINACIÓN ESPECÍFICA	738.233.571	113.752.763	-624.480.808	-84,59%
3305	FONDO PARA AMORTIZACIÓN DE APORTES	613.115.520	0	-613.115.520	-100,00%
3310	FONDO PARA REVALORIZACIÓN DE APORTES	70.208.533	57.326.627	-12.881.906	-18,35%
3325	FONDO ESPECIAL	23.675.075	24.328.988	653.913	2,76%
3330	FONDO SOCIALES CAPITALIZADOS	30.226.456	31.061.320	834.864	2,76%
3335	FONDOS DE INVERSIÓN	1.007.987	1.035.828	27.841	2,76%
35	EXCEDENTES Y/O PÉRDIDAS DEL EJERCICIO	-2.044.220.755	3.700.494.643	5.744.715.398	-281,02%
3505	EXCEDENTES	-2.044.220.755	0	2.044.220.755	-100,00%
3510	PÉRDIDAS (DB)	0	3.700.494.643	3.700.494.643	100,00%
36	RESULTADOS ACUMULADOS POR ADOPCIÓN POR PRIMERA VEZ	30.018.247	30.847.360	829.113	2,76%
3605	EXCEDENTES	30.018.247	30.847.360	829.113	2,76%
37	OTRO RESULTADO INTEGRAL	4.297.873.775	5.308.925.811	1.011.052.036	23,52%
3705	POR REVALUACIÓN DE PROPIEDAD PLANTA Y EQUIPO Y ACTIVOS INTANGIBLES	4.297.873.775	5.308.925.811	1.011.052.036	23,52%
39	RESULTADOS DE EJERCICIOS ANTERIORES	193.701.208	0	-193.701.208	-100,00%
3905	EXCEDENTES	193.701.208	0	-193.701.208	-100,00%
4	INGRESOS	26.594.085.162	27.383.904.906	789.819.744	2,97%
41	INGRESOS POR VENTA DE BIENES Y SERVICIOS	22.426.874.366	20.066.709.249	-2.360.165.117	-10,52%
4150	INGRESOS CARTERA DE CRÉDITOS	23.386.418.803	20.316.095.347	-3.070.323.456	-13,13%
415005	INTERESES DE CRÉDITOS COMERCIALES	3.297.267.165	2.359.759.776	-937.507.389	-28,43%
415010	INTERESES DE CRÉDITOS CONSUMO	7.839.620.139	7.103.935.904	-735.684.235	-9,38%
415015	INTERESES DE CRÉDITOS VIVIENDA	0	248.577.234	248.577.234	100,00%
415025	INTERESES DE MICROCRÉDITO EMPRESARIAL	2.835.980.465	2.133.333.740	-702.646.725	-24,78%
415035	INTERESES MORATORIOS CARTERA COMERCIAL	220.877.224	31.795.413	-189.081.811	-85,60%
415040	INTERESES MORATORIOS CARTERA CONSUMO	675.445.341	80.983.757	-594.461.584	-88,01%
415045	INTERESES MORATORIOS CARTERA VIVIENDA	0	1.601.586	1.601.586	100,00%
415055	INTERESES MORATORIOS CARTERA MICROCRÉDITO EMPRESARIAL	606.391.881	126.499.422	-479.892.459	-79,14%
415065	INTERESES DE CRÉDITOS PRODUCTIVOS	7.821.259.704	8.144.668.538	323.408.834	4,13%
415070	INTERESES MORATORIOS CARTERA CRÉDITOS PRODUCTIVOS	89.576.885	84.939.977	-4.636.908	-5,18%
4175	DEVOLUCIONES REBAJAS Y DESCUENTOS EN VENTAS (DB)	-959.544.437	-249.386.097	710.158.340	-74,01%
42	OTROS INGRESOS	4.167.210.796	7.317.195.657	3.149.984.861	75,59%
