					
Código	Denominación	[A]	[B]	[B] VS [A]	
		feb-2025 Proyectado	feb-2025 Histórico	feb-2025 Histórico	
				VS	
				feb-2025 Proyectado	
		Monto	Monto	Monto	%
1478	PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS PRODUCTIVOS	10.110.349	6.476.342	-3.634.007	-35,94%
147805	CATEGORÍA A RIESGO NORMAL	81.353	1.169.012	1.087.659	1336,96%
147810	CATEGORÍA B RIESGO ACEPTABLE	0	41.800	41.800	100,00%
147815	CATEGORÍA C RIESGO APRECIABLE	162.706	0	-162.706	-100,00%
147820	CATEGORÍA D RIESGO SIGNIFICATIVO	244.059	0	-244.059	-100,00%
147825	CATEGORÍA E RIESGO DE INCOBRABILIDAD	9.622.231	5.265.530	-4.356.701	-45,28%
1479	DETERIORO CRÉDITOS PRODUCTIVOS	-2.072.097.407	-1.732.078.099	340.019.308	-16,41%
147905	CATEGORÍA A RIESGO NORMAL	-1.851.030.323	-598.868.262	1.252.162.061	-67,65%
147910	CATEGORÍA B RIESGO ACEPTABLE	-51.260.897	-31.494.551	19.766.346	-38,56%
147915	CATEGORÍA C RIESGO APRECIABLE	-29.639.776	-27.014.437	2.625.339	-8,86%
147920	CATEGORÍA D RIESGO SIGNIFICATIVO	-32.501.367	-22.499.853	10.001.514	-30,77%
147925	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-107.665.044	-1.052.200.996	-944.535.952	877,29%
1480	DETERIORO INTERESES CRÉDITOS PRODUCTIVOS	-856.593.839	-189.216.168	667.377.671	-77,91%
148005	CATEGORÍA A RIESGO NORMAL	0	-22.549.607	-22.549.607	100,00%
148010	CATEGORÍA B RIESGO ACEPTABLE	0	-3.292.964	-3.292.964	100,00%
148015	CATEGORÍA C RIESGO APRECIABLE	-102.361.970	-2.876.902	99.485.068	-97,19%
148020	CATEGORÍA D RIESGO SIGNIFICATIVO	-157.746.367	-2.873.339	154.873.028	-98,18%
148025	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-596.485.502	-157.623.356	438.862.146	-73,57%
1481	DETERIORO PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE CONSUMO (CR)	-10.028.996	-4.338.868	5.690.128	-56,74%
148115	CATEGORÍA C RIESGO APRECIABLE	-162.706	0	162.706	-100,00%
148120	CATEGORÍA D RIESGO SIGNIFICATIVO	-244.059	0	244.059	-100,00%
148125	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-9.622.231	-4.338.868	5.283.363	-54,91%
16	CUENTAS POR COBRAR Y OTRAS	1.012.529.055	877.801.602	-134.727.453	-13,31%
1630	AVANCES Y ANTICIPOS ENTREGADOS	269.849.246	4.299.100	-265.550.146	-98,41%
163010	LABORALES	143.303.434	0	-143.303.434	-100,00%
163020	GASTOS DE VIAJE	310.105	2.167.600	1.857.495	598,99%
163095	OTROS	126.235.707	2.131.500	-124.104.207	-98,31%
1640	ACTIVOS POR IMPUESTOS CORRIENTES	81.997.787	117.409.535	35.411.748	43,19%
164010	RETENCIÓN EN LA FUENTE	65.931.744	100.517.506	34.585.762	52,46%
164015	IMPUESTO A LAS VENTAS RETENIDO	2.368.607	2.359.228	-9.379	-0,40%
164020	IMPUESTO DE INDUSTRIA Y COMERCIO RETENIDO	13.697.435	14.532.801	835.366	6,10%
1650	DEUDORES PATRONALES Y EMPRESAS	-60.251.662	0	60.251.662	-100,00%
165005	DESCUENTO DE NOMINA	-60.251.662	0	60.251.662	-100,00%
1655	RESPONSABILIDADES PENDIENTES	55.258.321	0	-55.258.321	-100,00%
165510	EMPLEADOS	55.258.321	0	-55.258.321	-100,00%
1660	OTRAS CUENTAS POR COBRAR	665.675.364	756.092.967	90.417.603	13,58%
166035	CUENTAS POR COBRAR DE TERCEROS	483.444.475	546.560.590	63.116.115	13,06%
166050	OTROS	208.287.434	234.058.936	25.771.502	12,37%
166099	DETERIORO OTRAS CUENTAS POR COBRAR (CR)	-26.056.545	-24.526.559	1.529.986	-5,87%
17	ACTIVOS MATERIALES	9.937.618.816	9.284.903.196	-652.715.620	-6,57%
1705	PROPIEDADES PLANTA Y EQUIPO	9.870.627.810	9.218.328.196	-652.299.614	-6,61%
170502	TERRENOS	1.329.349.093	1.222.948.000	-106.401.093	-8,00%
170504	EDIFICACIONES	8.064.131.884	9.340.598.739	1.276.466.855	15,83%
170505	MUEBLES Y EQUIPO DE OFICINA	1.754.696.101	1.739.824.496	-14.871.605	-0,85%
170520	EQUIPO DE CÓMPUTO Y COMUNICACIÓN	4.402.295.967	2.783.770.209	-1.618.525.758	-36,77%
170545	MAQUINARIA Y EQUIPO	1.022.352.392	1.016.003.711	-6.348.681	-0,62%
170560	BIENES DE FONDOS SOCIALES	7.546.865	7.500.000	-46.865	-0,62%
170591	BIENES RECIBIDOS EN PAGO	27.168.714	27.000.000	-168.714	-0,62%
170595	DEPRECIACIÓN AGOTAMIENTO PROPIEDAD PLANTA Y EQUIPO (CR)	-6.709.744.493	-6.892.316.959	-182.572.466	2,72%
170599	DETERIORO PROPIEDAD PLANTA Y EQUIPO (CR)	-27.168.714	-27.000.000	168.714	-0,62%
1715	PROPIEDADES DE INVERSIÓN MEDIDAS A VALOR RAZONABLE	66.991.006	66.575.000	-416.006	-0,62%
171505	TERRENOS	46.287.439	46.000.000	-287.439	-0,62%
171510	EDIFICACIONES	20.703.567	20.575.000	-128.567	-0,62%
19	OTROS ACTIVOS	597.607.446	582.700.092	-14.907.353	-2,49%
1904	SUCURSALES Y AGENCIAS	0	 	 	100,00%
190405	TRASLADO DE FONDOS	0	 	 	100,00%
190510	SEGUROS	0	99.072.886	99.072.886	100,00%
190515	ARRENDAMIENTOS	0	1.043.739.561	1.043.739.561	100,00%
190595	AMORTIZACIÓN ACUMULADA (CR)	0	-1.142.812.447	-1.142.812.447	100,00%
1910	ACTIVOS INTANGIBLES ADQUIRIDOS	597.607.446	582.700.092	-14.907.354	-2,49%
191025	LICENCIAS	3.079.673.604	2.688.012.475	-391.661.129	-12,72%
191095	AMORTIZACIÓN ACUMULADA (CR)	-2.482.066.158	-2.105.312.383	376.753.775	-15,18%
2	PASIVOS	170.658.918.882	167.289.535.790	-3.369.383.092	-1,97%
21	DEPÓSITOS	159.921.761.371	157.933.328.357	-1.988.433.014	-1,24%
2105	DEPÓSITOS DE AHORRO	86.623.790.050	82.787.390.142	-3.836.399.908	-4,43%
210505	ORDINARIOS ACTIVAS	72.585.332.419	78.416.176.822	5.830.844.403	8,03%
210510	ORDINARIOS INACTIVAS	14.038.457.630	4.371.213.320	-9.667.244.310	-68,86%
