	Código	Denominación	[A]	[B]	[B] VS [A]	
			mar-2025 Proyectado	mar-2025 Histórico	mar-2025 Histórico	
					VS	
					mar-2025 Proyectado	
			Monto	Monto	Monto	%
	1477	INTERESES CRÉDITOS PRODUCTIVOS	5.507.123.517	2.365.305.355	-3.141.818.162	-57,05%
	147705	CATEGORÍA A RIESGO NORMAL	2.751.170.992	2.040.505.806	-710.665.185	-25,83%
	147710	CATEGORÍA B RIESGO ACEPTABLE	566.631.199	53.451.842	-513.179.357	-90,57%
	147715	CATEGORÍA C RIESGO APRECIABLE	484.328.814	33.753.853	-450.574.961	-93,03%
	147720	CATEGORÍA D RIESGO SIGNIFICATIVO	177.477.192	11.699.647	-165.777.545	-93,41%
	147725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	1.527.515.320	225.894.207	-1.301.621.113	-85,21%
	1478	PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS PRODUCTIVOS	20.220.698	7.584.651	-12.636.047	-62,49%
	147805	CATEGORÍA A RIESGO NORMAL	162.706	1.148.114	985.408	605,64%
	147815	CATEGORÍA C RIESGO APRECIABLE	325.412	41.800	-283.612	-87,15%
	147820	CATEGORÍA D RIESGO SIGNIFICATIVO	488.118	0	-488.118	-100,00%
	147825	CATEGORÍA E RIESGO DE INCOBRABILIDAD	19.244.462	6.394.737	-12.849.725	-66,77%
	1479	DETERIORO CRÉDITOS PRODUCTIVOS	-4.382.860.273	-1.822.253.632	2.560.606.641	-58,42%
	147905	CATEGORÍA A RIESGO NORMAL	-3.640.199.179	-628.461.443	3.011.737.736	-82,74%
	147910	CATEGORÍA B RIESGO ACEPTABLE	-240.462.644	-42.028.985	198.433.659	-82,52%
	147915	CATEGORÍA C RIESGO APRECIABLE	-136.363.095	-45.875.793	90.487.302	-66,36%
	147920	CATEGORÍA D RIESGO SIGNIFICATIVO	-84.425.353	-34.832.722	49.592.631	-58,74%
	147925	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-281.410.004	-1.071.054.689	-789.644.685	280,60%
