AÑO	MES	CANTIDAD_TRABAJADORES_QUE_PARTICIPARON	OFICINA_DEPENDENCIA	ROLES	TEMA_DE_FORMACION	TIPO_DE_FORMACION	TOTAL_DE_PARTICIPANTES	TOTAL_DE_TRABAJADORES	PORCENTAJE_DE_PARTICIPACION	NUM_VECES_FORMADO_CADA_TRABAJADOR	CALIFICACION
2025	Julio	1	Tarqui	Asesores externos y barra	Liderazgo Comercial	Entrenamiento	1	201	0%	5	5.0
2025	Julio	1	Tarqui	Director Oficina	Liderazgo Comercial	Entrenamiento	1	201	0%	5	5.0
2025	Julio	1	La Plata	Asesores externos y barra	Liderazgo Comercial	Entrenamiento	1	201	0%	5	5.0
2025	Julio	1	La Plata	Director Oficina	Liderazgo Comercial	Entrenamiento	1	201	0%	5	5.0
2025	Julio	1	Florencia	Cajeros	Liderazgo Comercial	Entrenamiento	1	201	0%	5	5.0
2025	Julio	1	Florencia	Asesores externos y barra	Liderazgo Comercial	Entrenamiento	1	201	0%	5	5.0
2025	Julio	1	Florencia	Director Oficina	Liderazgo Comercial	Entrenamiento	1	201	0%	5	5.0
2025	Julio	8	Dirección General	Gestores Nuevas tendencias de	cobranza	Entrenamiento	8	201	4%	1	5.0
2025	Julio	1	Dirección General	Coordinadores	Nuevas tendencias de cobranza	Entrenamiento	1	201	0%	1	5.0
2025	Julio	1	Dirección General	Subgerentes	Nuevas tendencias de cobranza	Entrenamiento	1	201	0%	1	5.0
2025	Agosto	1	Pitalito	Asesores externos y barra	Competencias básicas, técnicas y específicas	Inducción	1	208	0%	1	4.1
2025	Agosto	1	Florencia	Asesores externos y barra	Competencias básicas, técnicas y específicas	Inducción	1	208	0%	1	3.9
2025	Agosto	1	Dirección General	Auxiliares	Competencias básicas, técnicas y específicas	Inducción	1	208	0%	1	4.5
2025	Agosto	1	Garzón	Auxiliares	Competencias básicas, técnicas y específicas	Inducción	1	208	0%	1	3.7
2025	Agosto	1	Garzón	Aprendiz Sena	Competencias básicas, técnicas y específicas	Inducción	1	208	0%	1	4.5
2025	Agosto	1	Dirección General	Aprendiz Sena	Competencias básicas, técnicas y específicas	Inducción	1	208	0%	1	3.5
2025	Agosto	1	Iquira	Director Oficina	Liderazgo Comercial	Entrenamiento	1	208	0%	1	3.5
2025	Agosto	1	Tarqui	Asesores externos y barra	Liderazgo Comercial	Entrenamiento	1	208	0%	1	3.5
2025	Agosto	1	Tarqui	Director Oficina	Liderazgo Comercial	Entrenamiento	1	208	0%	1	4.0
2025	Agosto	1	La Plata	Asesores externos y barra	Liderazgo Comercial	Entrenamiento	1	208	0%	1	3.5
2025	Agosto	1	La Plata	Director Oficina	Liderazgo Comercial	Entrenamiento	1	208	0%	1	4.0
2025	Agosto	1	Florencia	Cajeros	Liderazgo Comercial	Entrenamiento	1	208	0%	1	4.0
2025	Agosto	1	Florencia	Asesores externos y barra	Liderazgo Comercial	Entrenamiento	1	208	0%	1	5.0
2025	Agosto	1	Florencia	Director Oficina	Liderazgo Comercial	Entrenamiento	1	208	0%	1	3.8
2025	Agosto	3	Neiva	Asesores externos y barra	SARC y sus anexos	Reinducción	3	208	1%	3	3.8
2025	Agosto	1	Hobo	Cajeros	SARC y sus anexos	Reinducción	1	208	0%	3	3.8
2025	Agosto	1	Garzón	Asesores externos y barra	SARC y sus anexos	Reinducción	1	208	0%	3	3.8
2025	Agosto	1	La Plata	Director Oficina	SARC y sus anexos	Reinducción	1	208	0%	3	3.8
2025	Agosto	1	La Argentina	Jefe de Operaciones	SARC y sus anexos	Reinducción	1	208	0%	3	3.8
2025	Agosto	1	Tarqui	Jefe de Operaciones	SARC y sus anexos	Reinducción	1	208	0%	3	3.8
2025	Agosto	144	Todo Coofisam	Todos los roles	Plan de preparación, prevención y respuesta ante de emergencias	Curso en Plataforma Aprendizaje	144	208	69%	1	5.0
2025	Agosto	141	Todo Coofisam	Todos los roles	Política ambiental, uso eficiente del agua, gestión integral de residuos sólidos.	Curso en Plataforma Aprendizaje	141	208	68%	1	5.0
